"time","anomalies.detector_id","anomalies.diff"
"2015-10-04T13:27:01.000Z","95","13"
"2015-10-05T09:39:01.000Z","2","4"
"2015-10-05T09:40:31.000Z","2","-4"
"2015-10-05T15:07:31.000Z","3","-5"
"2015-10-05T15:09:01.000Z","2","4"
"2015-10-05T15:13:31.000Z","3","-5"
"2015-10-05T15:16:31.000Z","2","4"
"2015-10-05T15:37:31.000Z","2","4"
"2015-10-05T16:04:31.000Z","2","-5"
"2015-10-05T20:07:31.000Z","87","14"
"2015-10-05T20:42:01.000Z","92","-16"
"2015-10-06T11:33:01.000Z","3","5"
"2015-10-06T11:34:31.000Z","3","-5"
"2015-10-06T11:40:31.000Z","3","-5"
"2015-10-06T14:36:01.000Z","2","4"
"2015-10-06T15:18:01.000Z","3","5"
"2015-10-06T15:19:31.000Z","3","-5"
"2015-10-06T15:34:31.000Z","2","-4"
"2015-10-06T16:00:01.000Z","2","4"
"2015-10-06T16:31:31.000Z","2","-4"
"2015-10-06T23:58:31.000Z","9","18"
"2015-10-07T14:39:01.000Z","3","5"
"2015-10-07T15:01:31.000Z","2","-4"
"2015-10-07T15:13:31.000Z","3","-5"
"2015-10-07T16:24:01.000Z","2","-4"
"2015-10-07T17:21:01.000Z","5","11"
"2015-10-08T10:36:01.000Z","3","5"
"2015-10-08T11:51:01.000Z","96","16"
"2015-10-08T15:04:31.000Z","3","5"
"2015-10-08T15:10:31.000Z","3","5"
"2015-10-08T15:12:01.000Z","2","4"
"2015-10-08T15:15:01.000Z","2","-4"
"2015-10-08T15:39:01.000Z","2","4"
"2015-10-08T16:07:31.000Z","3","5"
"2015-10-08T17:43:31.000Z","2","4"
"2015-10-08T17:45:01.000Z","2","-4"
"2015-10-08T18:27:01.000Z","96","17"
"2015-10-08T18:51:01.000Z","96","16"
"2015-10-09T09:40:31.000Z","67","21"
"2015-10-09T15:09:01.000Z","3","-5"
"2015-10-09T15:22:31.000Z","2","4"
"2015-10-09T15:31:31.000Z","2","4"
"2015-10-09T15:34:31.000Z","2","-4"
"2015-10-09T16:04:31.000Z","2","4"
